input,labels,input_len,preprocessed
I am reading score of Mahler is Symphony No . .,0,11,I am reading score of Mahler is Symphony No . .
I am not interested in cars or electric appliances .,1,10,I am not interested in car or electric appliance .
This is my homework for my English class .,0,9,This is my homework for my English class .
"In comparison , Canada is catches increased and decreased at steadier rate , although similarly to US .",0,18,"In comparison , Canada is catch increased and decreased at steadier rate , although similarly to US ."
"Fortunately , my older sister is friend is a dentist .",1,11,"Fortunately , my older sister is friend is a dentist ."
"Also , some recycling methods for plastics use more oil to use machinery than making new one from oil .",1,20,"Also , some recycling method for plastic use more oil to use machinery than making new one from oil ."
Comparison Contrast,1,2,Comparison Contrast
See you .,0,3,See you .
Talking with Kyouke from about to .,1,7,Talking with Kyouke from about to .
biodiversity n .,0,3,biodiversity n .
I understand it is a dream .,1,7,I understand it is a dream .
I request many things to her so often .,0,9,I request many thing to her so often .
Working - Holiday is a system for youngmen to taravel abroad with working in some country .,0,17,Working - Holiday is a system for youngmen to taravel abroad with working in some country .
Nice to meet you .,0,5,Nice to meet you .
Is not that easier than the Taiwanese one ?,1,9,Is not that easier than the Taiwanese one ?
I could not write diary for long time .,0,9,I could not write diary for long time .
And my ankle and knee are in pain . It is very painful .,1,14,And my ankle and knee are in pain . It is very painful .
He was fidgeting on his way .,0,7,He wa fidgeting on his way .
 A house . ,0,5, A house . 
And I am addicted to it very much ,1,9,And I am addicted to it very much 
Please correct my mistakes .,0,5,Please correct my mistake .
"Second one , vocabulary , is fun too .",0,9,"Second one , vocabulary , is fun too ."
I think he came here to teach us lessons .,1,10,I think he came here to teach u lesson .
I grasped my belly which was stuffed with the soup and peach .,1,13,I grasped my belly which wa stuffed with the soup and peach .
"But first I visited Paris myself for nights . to travel along was my first experience , feel was so lonely . ",0,23,"But first I visited Paris myself for night . to travel along wa my first experience , feel wa so lonely . "
Until that night was going to end with no stars,1,10,Until that night wa going to end with no star
 - One of my colleagues found the program for us .,0,12, - One of my colleague found the program for u .
The new house is not so uncomfortable and we are relax here .,0,13,The new house is not so uncomfortable and we are relax here .
I do not know how to explain the difference between Koreans and others .,1,14,I do not know how to explain the difference between Koreans and others .
The person who has the same name might be harmed by such things as bullying .,1,16,The person who ha the same name might be harmed by such thing a bullying .
but my weight still remains to be the same .,1,10,but my weight still remains to be the same .
"Rainy Season , ",0,4,"Rainy Season , "
"In India is life , we need auto rickshaws .",1,10,"In India is life , we need auto rickshaw ."
I hate this typical blood running everyone is body .,0,10,I hate this typical blood running everyone is body .
Hmm . My iPhone is always with me even at work .,1,12,Hmm . My iPhone is always with me even at work .
Let is try this game please tell me your impressions !,1,11,Let is try this game please tell me your impression !
It is not bad to learn something new brought by the stars .,1,13,It is not bad to learn something new brought by the star .
I have some friens in N .,0,7,I have some friens in N .
I gave her a present .,1,6,I gave her a present .
so i have to try to diet to tomorrow .,0,10,so i have to try to diet to tomorrow .
Thanks for reading of my diary .,0,7,Thanks for reading of my diary .
I am sure they are going to be a great couple .,1,12,I am sure they are going to be a great couple .
But they still have a chance .,1,7,But they still have a chance .
I am writing my first diary to know how useful this service is .,0,14,I am writing my first diary to know how useful this service is .
"She has a baby girl , and she has a plan . She wants her baby to be raised as a bilingual who can speak both Japanese and English fluently .",1,31,"She ha a baby girl , and she ha a plan . She want her baby to be raised a a bilingual who can speak both Japanese and English fluently ."
"The surgery took a short time , almost mins and there was no pain but it was scary .",1,19,"The surgery took a short time , almost min and there wa no pain but it wa scary ."
we have a listening lesson this afternoon .,1,8,we have a listening lesson this afternoon .
"In the hospital , for example , we ca not use cellular phones because they have a bad influence on medical devices or people with heart diseases .",1,28,"In the hospital , for example , we ca not use cellular phone because they have a bad influence on medical device or people with heart disease ."
"People who have good language skills tell me that we have to start with listening , then speaking , reading and writing , a similar pattern to how we learn our native language .",1,34,"People who have good language skill tell me that we have to start with listening , then speaking , reading and writing , a similar pattern to how we learn our native language ."
The price of the smell ?,1,6,The price of the smell ?
And with their crossed eyes they throw sparks to burn the stupid guys that do not want to study .,0,20,And with their crossed eye they throw spark to burn the stupid guy that do not want to study .
My name is Takahiro .,1,5,My name is Takahiro .
Monkey What is a good thought !,0,7,Monkey What is a good thought !
 - He is as green .,1,7, - He is a green .
I am proud of myself to be a Japanese person when people talk about Japanese anime or so .,1,19,I am proud of myself to be a Japanese person when people talk about Japanese anime or so .
Then I prepare the calculation of work in progress and the cost of production is corrected by changes in inventory of finished products and work in progress .,1,28,Then I prepare the calculation of work in progress and the cost of production is corrected by change in inventory of finished product and work in progress .
Digital art is communicative and interactive .,0,7,Digital art is communicative and interactive .
"On Sunday I went for a walk with my flatmate . She is like my sister here , so we just went for a walk and had some coffee and then I went back to my flat .",1,38,"On Sunday I went for a walk with my flatmate . She is like my sister here , so we just went for a walk and had some coffee and then I went back to my flat ."
Do you think so ?,1,5,Do you think so ?
 The diary helps you remember what it was like to be you at different stages of your life .,0,20, The diary help you remember what it wa like to be you at different stage of your life .
Why my body like this sick ?,0,7,Why my body like this sick ?
He is a man from Japan .,1,7,He is a man from Japan .
"Finally , I became an English teacher for kids .",1,10,"Finally , I became an English teacher for kid ."
I do not want to do my homework again for today .,1,12,I do not want to do my homework again for today .
"After that , I did shopping and I bought the food for tonight , drinks , snacks the foods for week .",0,22,"After that , I did shopping and I bought the food for tonight , drink , snack the food for week ."
sometimes my son can speak some English with me .,0,10,sometimes my son can speak some English with me .
 - never injure a friend ,1,7, - never injure a friend 
I am going to jot down something that happened or something I thought every day from today .,1,18,I am going to jot down something that happened or something I thought every day from today .
She had an enjoyable time with her grandfather and grandmother immediately .,1,12,She had an enjoyable time with her grandfather and grandmother immediately .
"Although almost all are sentences , recently I think it is the shortest way for improving my speaking English that I memorize sentences and use modified sentences that I change in line with which I want to talk .",0,39,"Although almost all are sentence , recently I think it is the shortest way for improving my speaking English that I memorize sentence and use modified sentence that I change in line with which I want to talk ."
because any one tasty in japanese foods .,0,8,because any one tasty in japanese food .
My friend say ' It is also good for Japanese to watch Japanese movies with English subtitles .,0,18,My friend say ' It is also good for Japanese to watch Japanese movie with English subtitle .
"Anyway , I want to enjoy watching their dancing tomorrow .",0,11,"Anyway , I want to enjoy watching their dancing tomorrow ."
Here is a part from the episode Four Funerals and a Wedding,1,12,Here is a part from the episode Four Funerals and a Wedding
hobby soccer and swimming,0,4,hobby soccer and swimming
"Second , because you are able to read .",0,9,"Second , because you are able to read ."
"He is made of rubber , so he ca not have a pulse ",1,14,"He is made of rubber , so he ca not have a pulse "
My new school year has launched and I got so wrapped up in my teaching .,1,16,My new school year ha launched and I got so wrapped up in my teaching .
"It is important for us to have our goals in life , but it is more important to make a effective goals according to your actual condition .",0,28,"It is important for u to have our goal in life , but it is more important to make a effective goal according to your actual condition ."
"This logo design is very simple , But deep meaning is hidden behind there .",0,15,"This logo design is very simple , But deep meaning is hidden behind there ."
It is a .m . Feeling sleepy Hope I can make some friends that can share the knowlegde we have .,0,21,It is a .m . Feeling sleepy Hope I can make some friend that can share the knowlegde we have .
I was so tired for waiting him .,0,8,I wa so tired for waiting him .
He sometimes spoke in a blank tone in response to our call .,0,13,He sometimes spoke in a blank tone in response to our call .
My kids love corns .,1,5,My kid love corn .
Natural disaster that is not easy to control .,0,9,Natural disaster that is not easy to control .
then i introduce myself,0,4,then i introduce myself
I want to go Karaoke with him next month !,1,10,I want to go Karaoke with him next month !
"In order to offer chronically the comsumers best service and commodities , you had better use some profits to invest your enterprise .",0,23,"In order to offer chronically the comsumers best service and commodity , you had better use some profit to invest your enterprise ."
My friends say that I and my sister look like twins .,1,12,My friend say that I and my sister look like twin .
Trying not to be a Monk only for three days ,0,11,Trying not to be a Monk only for three day 
Should College Students Hire Cleaners ?,1,6,Should College Students Hire Cleaners ?
I want to start off from translation of one of my video which I m going to put subtitle in English .,0,22,I want to start off from translation of one of my video which I m going to put subtitle in English .
i hope one day i can go to europe .,0,10,i hope one day i can go to europe .
"Before the move , I lived in a hilly inland area .",0,12,"Before the move , I lived in a hilly inland area ."
And it moderates the pain in the throat .,1,9,And it moderate the pain in the throat .
My passion,0,2,My passion
I watched a DVD of Silk Road at today .,0,10,I watched a DVD of Silk Road at today .
And my room is in the south east in my apartment .,1,12,And my room is in the south east in my apartment .
Today I learned the Korean alphabet .,0,7,Today I learned the Korean alphabet .
"He introduced me to this site , so I can write this diary .",1,14,"He introduced me to this site , so I can write this diary ."
The author has persuaded the reader to consent to the conclusion and sentences have been formed to protect the conclusion to the end .,1,24,The author ha persuaded the reader to consent to the conclusion and sentence have been formed to protect the conclusion to the end .
"I have an English friend who is learning Chinese . Please tell me . I will follow closely your Chinese diary , and hope they can help me to improve my English diary .",1,34,"I have an English friend who is learning Chinese . Please tell me . I will follow closely your Chinese diary , and hope they can help me to improve my English diary ."
But it is not enough .,1,6,But it is not enough .
"However , it is only when I do not have any plans to go out .",1,16,"However , it is only when I do not have any plan to go out ."
i am so happy this week,0,6,i am so happy this week
It is almost bloom cherry - blossom .,0,8,It is almost bloom cherry - blossom .
Are you stupid ?,0,4,Are you stupid ?
It is a small presentation that only nine people will attend and it is about the feedback after reading a book .,0,22,It is a small presentation that only nine people will attend and it is about the feedback after reading a book .
"The lover is special course , lover is dedicated suite , lover is coupon and so forth are chock full of the stink coming off the coins .",1,28,"The lover is special course , lover is dedicated suite , lover is coupon and so forth are chock full of the stink coming off the coin ."
"However , the economic recessions are more effective than these efforts .",1,12,"However , the economic recession are more effective than these effort ."
"Today is lunch time , we talked about scream machines .",1,11,"Today is lunch time , we talked about scream machine ."
Then we were laughing .,0,5,Then we were laughing .
It was very delicious ! !,0,6,It wa very delicious ! !
The allergy to avocado,1,4,The allergy to avocado
"Now , I am doing a study in sports psychology .",1,11,"Now , I am doing a study in sport psychology ."
I am planning to join a company next year .,1,10,I am planning to join a company next year .
simple plan,1,2,simple plan
"If my children can tell me everything , I am the best mom .",0,14,"If my child can tell me everything , I am the best mom ."
I love all the stars up the sky .,0,9,I love all the star up the sky .
"That is funny , he used Twitter although he was the emperor in the old days .",1,17,"That is funny , he used Twitter although he wa the emperor in the old day ."
I will try multi - tasking from now .,1,9,I will try multi - tasking from now .
Thanks for reading such a long entry !,0,8,Thanks for reading such a long entry !
"I have been studying listening , reading and speaking skills in English so far , but never learned about writing .",1,21,"I have been studying listening , reading and speaking skill in English so far , but never learned about writing ."
It is a judgment of the boss of not join .,0,11,It is a judgment of the bos of not join .
Clean the room,1,3,Clean the room
Why my English have not been improved ?,0,8,Why my English have not been improved ?
I study English ,1,4,I study English 
"Therefore , I took a medicine and I wore warm clothes in order not to catch a cold .",1,19,"Therefore , I took a medicine and I wore warm clothes in order not to catch a cold ."
I was disappointed when Charlie could not get the Golden Ticket but I jumped up to be glad in my mind when he got the last one after later .,1,30,I wa disappointed when Charlie could not get the Golden Ticket but I jumped up to be glad in my mind when he got the last one after later .
We had a promise .,1,5,We had a promise .
Which one of these characteristics is most important to you ?,0,11,Which one of these characteristic is most important to you ?
 is ' did you nod ?,1,7, is ' did you nod ?
"He made air bad , and we thought that he was a troublemaker when he drank .",0,17,"He made air bad , and we thought that he wa a troublemaker when he drank ."
That was so scary .,0,5,That wa so scary .
This may be last cold and next week spring will come .,0,12,This may be last cold and next week spring will come .
